province,year,batch,category,university_code,university_name,major_group,major_group,major_code,major_name,major_note,subject_req,plan_count,duration,tuition
上海,2025,本科普通批,综合,290,北华航天工业学院,29001,01,5,物流管理,,不限科目,1,4.0,5060.0
上海,2025,本科普通批,综合,236,北京城市学院,23601,01,5,法语(全球品牌战略管理中法实验班),,不限科目,1,4.0,43800.0
上海,2025,本科普通批,综合,236,北京城市学院,23601,01,8,文物与博物馆学,,不限科目,1,4.0,32800.0
上海,2025,本科普通批,综合,236,北京城市学院,23601,01,7,传播学(国际课程班),,不限科目,1,4.0,48800.0
上海,2025,本科普通批,综合,236,北京城市学院,23601,01,1,金融学(国际课程班),,不限科目,1,4.0,48800.0
上海,2025,本科普通批,综合,236,北京城市学院,23601,01,10,文化产业管理,,不限科目,1,4.0,32800.0
上海,2025,本科普通批,综合,236,北京城市学院,23601,01,6,西班牙语(数字传媒中西实验班),,不限科目,1,4.0,43800.0
上海,2025,本科普通批,综合,236,北京城市学院,23601,01,12,广播电视编导(影视编创),,不限科目,2,4.0,35800.0
上海,2025,本科普通批,综合,236,北京城市学院,23601,01,11,跨境电子商务,,不限科目,1,4.0,32800.0
上海,2025,本科普通批,综合,236,北京城市学院,23601,01,9,会计学(国际课程班),,不限科目,1,4.0,48800.0
上海,2025,本科普通批,综合,236,北京城市学院,23601,01,2,社会工作,,不限科目,1,4.0,32800.0
上海,2025,本科普通批,综合,236,北京城市学院,23601,01,3,教育学,,不限科目,1,4.0,32800.0
上海,2025,本科普通批,综合,236,北京城市学院,23601,01,4,德语(商务经济中德实验班),,不限科目,1,4.0,43800.0
上海,2025,零志愿批,综合,32,北京大学,03202,02,21,天文学,含天体物理、天文高新技术和应用方向,物理和化学,1,4.0,5000.0
上海,2025,零志愿批,综合,32,北京大学,03202,02,27,信息管理与信息系统,,物理和化学,1,4.0,5000.0
上海,2025,零志愿批,综合,32,北京大学,03202,02,20,化学类,含化学、应用化学、应用化学(材料方向)、化学生物学专业,物理和化学,1,4.0,5000.0
上海,2025,零志愿批,综合,32,北京大学,03201,01,3,哲学类,含哲学、宗教学、哲学(科技哲学与逻辑学方向)专业,不限科目,1,4.0,5000.0
上海,2025,零志愿批,综合,32,北京大学,03202,02,18,数学类,含数学与应用数学(数学)、数学与应用数学(概率统计)、数学与应用数学(科学与工程计算)、数学与应用数学(信息科学)、数学与应用数学(金融)专业,物理和化学,1,4.0,5000.0
上海,2025,零志愿批,综合,32,北京大学,03201,01,6,社会学类,含社会学、社会工作专业,不限科目,1,4.0,5000.0
